51576 1.1674401788277766e-37
45168 7.256042628095565e-38
47338 5.082552723454535e-38
76772 4.6283666011999743e-38
79950 4.481201734488597e-38
63648 3.8192963816113716e-38
67107 3.220642371224407e-38
67411 3.220642371224407e-38
55602 2.34235334430373e-38
77936 1.781306586309742e-38
86459 1.7793793347593727e-38
48786 1.5424698781372196e-38
71157 1.5206984444139429e-38
23437 1.4786787861033677e-38
15865 1.471012072234598e-38
59244 1.451108294807279e-38
66686 1.441112904170389e-38
59521 1.3865342320328135e-38
7535 1.33078526944825e-38
41791 1.285741033512267e-38
45642 1.26632056503054e-38
86286 1.1993262301332275e-38
45161 1.055046869476273e-38
52237 1.0041342572208332e-38
71159 9.29289870374619e-39
62594 9.228819545581679e-39
3169 8.665927735067117e-39
25590 8.506542802730905e-39
9462 7.971778622295514e-39
78164 7.924963400576337e-39
63689 7.472839213220828e-39
31249 7.213413427988067e-39
31947 7.213413427988067e-39
75282 7.095972391530872e-39
71894 6.803589870881868e-39
20760 6.66812304117258e-39
60334 6.497920943808671e-39
18552 6.469059760418012e-39
57876 6.387825815165959e-39
42848 6.167482085326972e-39
48098 5.7155939393153196e-39
10117 5.075476905269042e-39
17736 5.075476905269042e-39
17930 5.075476905269042e-39
18297 5.075476905269042e-39
18529 5.075476905269042e-39
28185 5.075476905269042e-39
31404 5.075476905269042e-39
31761 5.075476905269042e-39
36212 5.075476905269042e-39
37330 5.075476905269042e-39
38356 5.075476905269042e-39
42439 5.075476905269042e-39
58209 5.075476905269042e-39
61532 5.075476905269042e-39
67673 5.075476905269042e-39
69377 5.075476905269042e-39
72535 5.075476905269042e-39
7622 5.075476905269042e-39
79823 5.075476905269042e-39
8007 5.075476905269042e-39
